#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
08;6;2;0;2;2;3;0;0;0;3;2;3;5;2;True;0;0;0;1;2;1;3;4;1;1;1;842
08;13;4;3;2;1;0;0;0;0;3;4;-14;15;3;False;4;7;3;0;4;4;5;5;0;4;0;1305
08;10;4;1;0;0;2;0;0;0;0;2;-9;13;4;False;3;5;2;1;2;1;1;2;1;3;1;1058
08;0;2;1;0;0;0;0;0;0;0;1;-5;1;5;False;0;0;0;0;3;3;0;0;0;2;0;1076
08;6;2;3;0;0;0;0;1;0;0;1;-3;9;6;False;2;4;2;0;0;0;2;2;0;2;0;1000
08;4;1;1;0;1;2;1;0;0;1;2;-7;4;7;False;1;2;1;0;1;1;2;3;1;1;0;732
08;2;7;2;0;2;0;0;0;0;0;3;15;9;8;False;1;2;1;0;2;2;0;0;0;7;0;1253
08;14;8;3;3;0;4;0;0;0;1;3;10;29;9;False;5;6;1;0;0;0;4;4;0;7;1;1599
08;9;4;2;2;1;4;0;0;1;1;5;3;17;10;False;3;5;2;0;0;0;3;4;1;4;0;1244
08;10;6;1;1;2;2;0;1;1;2;2;15;14;11;False;2;3;1;2;2;0;0;0;0;4;2;1454
08;5;4;0;1;0;2;0;0;0;1;1;21;6;12;False;2;4;2;0;1;1;1;2;1;4;0;1385
08;8;3;5;1;0;0;0;0;0;0;3;0;16;13;False;3;5;2;0;1;1;2;3;1;2;1;1438
08;8;5;1;1;1;2;0;0;0;0;4;-3;16;14;False;3;3;0;0;1;1;2;3;1;4;1;1426
08;2;2;2;3;1;0;0;1;0;4;2;-3;1;15;True;0;2;2;0;2;2;2;2;0;2;0;934
08;11;3;1;2;1;2;1;0;0;2;3;9;15;16;False;4;5;1;0;1;1;3;4;1;3;0;1122
08;12;4;1;1;2;0;0;0;0;1;3;-4;14;17;False;2;5;3;2;2;0;2;3;1;3;1;1211
08;2;3;0;1;0;0;0;0;0;2;2;2;3;18;True;0;0;0;0;1;1;2;4;2;3;0;1104
08;7;3;3;2;1;2;0;0;0;3;1;11;11;19;False;2;3;1;1;1;0;0;0;0;3;0;1587
08;12;6;1;2;3;0;0;0;0;2;2;14;14;20;False;1;5;4;2;2;0;4;4;0;6;0;1447
08;0;0;0;0;1;0;0;0;0;0;0;-1;-2;21;False;0;1;1;0;0;0;0;0;0;0;0;596
12;11;2;2;1;2;2;0;0;0;1;2;5;14;1;False;1;1;0;2;3;1;3;3;0;1;1;977
12;10;5;3;1;0;2;0;0;0;3;2;32;14;2;False;1;1;0;2;6;4;2;2;0;5;0;1404
12;10;2;0;3;1;2;0;1;0;3;2;-14;7;3;False;4;6;2;0;2;2;2;3;1;1;1;1297
12;2;1;1;0;0;0;0;0;0;2;1;-10;1;4;False;1;2;1;0;1;1;0;0;0;0;1;748
12;0;4;2;0;0;0;0;1;0;1;0;0;0;5;False;0;1;1;0;3;3;0;0;0;3;1;820
12;10;5;0;2;1;5;0;0;0;1;4;22;12;6;False;2;3;1;1;4;3;3;6;3;5;0;1523
12;1;3;1;2;1;0;0;0;0;4;2;-10;0;7;False;0;0;0;0;3;3;1;2;1;3;0;1130
12;15;5;1;1;0;5;0;0;0;1;4;19;23;8;False;2;2;0;3;4;1;2;3;1;4;1;1120
12;5;0;0;2;0;5;0;0;1;2;2;-4;5;10;False;1;1;0;1;3;2;0;0;0;0;0;793
12;7;0;2;1;0;2;1;0;0;3;0;7;7;11;False;2;2;0;1;2;1;0;0;0;0;0;888
12;2;5;2;1;2;0;0;0;0;4;1;7;3;12;False;1;1;0;0;2;2;0;0;0;5;0;1103
12;5;0;0;0;1;0;0;0;0;3;0;-8;0;13;False;1;2;1;1;1;0;0;0;0;0;0;961
12;2;3;2;1;1;0;0;0;0;2;2;-1;4;14;False;1;3;2;0;1;1;0;0;0;2;1;761
12;9;2;2;1;0;0;0;0;0;3;2;-7;12;15;False;1;1;0;2;2;0;1;2;1;2;0;1278
12;0;1;0;0;0;0;0;0;0;4;0;-6;-5;17;False;0;0;0;0;2;2;0;0;0;1;0;861
12;8;2;1;0;0;2;0;0;0;1;1;-4;8;18;False;1;2;1;2;4;2;0;0;0;2;0;853
12;13;1;3;2;0;5;0;1;0;1;0;6;12;19;False;2;3;1;3;7;4;0;0;0;1;0;1066
12;13;1;2;0;0;3;1;0;0;0;2;-8;15;21;False;1;2;1;3;6;3;2;2;0;1;0;1494
13;5;2;0;1;1;0;0;0;1;3;1;7;2;1;False;2;4;2;0;1;1;1;1;0;0;2;1112
13;2;5;0;0;0;0;0;0;0;2;0;13;4;2;False;1;1;0;0;1;1;0;0;0;2;3;594
13;0;0;0;0;0;0;0;0;0;2;0;-11;-3;3;False;0;0;0;0;1;1;0;0;0;0;0;522
13;0;4;0;0;1;0;0;0;0;1;0;3;-1;4;False;0;1;1;0;2;2;0;0;0;3;1;924
13;2;3;0;0;1;0;0;0;0;0;2;-2;6;5;False;0;0;0;0;0;0;2;2;0;2;1;302
13;4;1;0;1;0;0;1;1;0;5;1;12;-1;6;False;2;3;1;0;1;1;0;1;1;1;0;614
13;0;1;0;0;0;0;0;0;0;2;0;5;-1;7;False;0;0;0;0;0;0;0;0;0;0;1;355
13;0;0;0;0;0;0;0;0;0;0;0;0;0;8;False;0;0;0;0;0;0;0;0;0;0;0;70
13;0;0;0;0;0;0;0;0;0;2;1;7;-3;9;False;0;0;0;0;0;0;0;2;2;0;0;309
13;0;0;0;0;0;0;0;0;0;0;0;-2;-2;10;False;0;0;0;0;2;2;0;0;0;0;0;158
13;2;14;0;0;0;0;0;1;0;3;1;23;7;11;False;1;6;5;0;1;1;0;0;0;5;9;1593
13;2;4;0;0;0;0;1;1;0;2;1;8;2;12;True;1;3;2;0;1;1;0;0;0;1;3;889
13;3;1;0;0;0;0;0;0;0;1;0;-6;3;13;False;0;0;0;1;1;0;0;0;0;0;1;516
13;0;4;0;0;1;0;0;0;0;1;1;2;1;14;False;0;0;0;0;2;2;0;0;0;2;2;552
13;3;2;1;0;0;0;0;0;0;4;2;-2;1;15;False;1;2;1;0;0;0;1;3;2;0;2;629
13;4;2;2;1;0;0;0;0;0;5;2;6;6;16;False;1;1;0;0;0;0;2;2;0;0;2;533
13;0;0;0;0;0;0;0;0;0;1;0;0;-1;17;False;0;0;0;0;0;0;0;0;0;0;0;45
13;0;1;0;0;0;0;0;0;0;1;0;-6;0;18;False;0;0;0;0;0;0;0;0;0;1;0;443
13;0;0;0;0;0;0;0;0;0;0;0;0;0;19;False;0;0;0;0;0;0;0;0;0;0;0;0
13;5;2;0;1;0;2;0;0;0;4;2;15;5;20;False;1;1;0;0;0;0;3;4;1;2;0;933
13;0;2;0;0;0;0;0;1;0;2;1;-11;-4;21;False;0;3;3;0;1;1;0;0;0;2;0;713
15;2;4;3;0;1;0;0;0;0;2;1;22;7;1;True;1;1;0;0;0;0;0;0;0;3;1;1042
15;4;6;0;2;0;0;0;0;0;1;2;-3;9;2;True;1;3;2;0;0;0;2;4;2;3;3;1097
15;6;5;0;0;0;0;0;0;1;3;2;-4;8;3;False;3;4;1;0;0;0;0;1;1;1;4;876
15;12;6;0;1;2;2;0;1;0;3;2;15;10;4;False;6;9;3;0;0;0;0;2;2;4;2;1572
15;2;5;1;1;2;0;2;1;0;1;2;0;5;5;False;1;3;2;0;0;0;0;2;2;2;3;1116
15;12;11;1;0;2;0;0;0;2;3;2;22;17;6;False;6;9;3;0;0;0;0;1;1;5;6;1633
15;11;5;0;1;2;0;1;1;0;2;6;-3;16;7;False;3;5;2;0;0;0;5;6;1;2;3;1249
15;4;8;3;0;0;0;1;0;0;4;1;16;11;8;False;2;2;0;0;0;0;0;2;2;6;2;1354
15;3;2;1;0;1;0;1;0;1;3;2;-4;3;9;False;1;2;1;0;0;0;1;2;1;0;2;746
15;15;11;1;0;1;0;3;0;0;2;4;1;26;10;True;5;9;4;0;0;0;5;6;1;6;5;1622
15;2;5;1;1;0;0;1;0;0;2;0;4;8;11;True;1;1;0;0;0;0;0;0;0;4;1;1133
15;11;10;0;0;1;0;0;0;1;2;3;7;18;12;True;5;8;3;0;0;0;1;1;0;7;3;1392
15;11;8;0;0;1;2;2;0;0;4;3;-6;14;13;True;4;7;3;0;0;0;3;5;2;3;5;996
15;6;6;0;0;0;0;0;0;0;2;2;-2;8;14;False;2;6;4;0;0;0;2;2;0;3;3;1315
15;10;6;1;1;0;0;0;0;0;1;2;0;16;15;True;4;7;3;0;0;0;2;2;0;4;2;1198
15;7;2;1;0;1;0;0;0;0;2;3;-2;5;16;False;2;5;3;0;0;0;3;5;2;0;2;1177
15;10;9;5;1;0;0;1;0;1;4;3;0;20;17;True;4;9;5;0;0;0;2;2;0;5;4;1675
15;4;3;1;0;2;0;0;0;1;4;2;5;2;18;False;2;2;0;0;0;0;0;2;2;3;0;1016
15;10;3;0;0;0;0;0;0;0;2;0;-5;11;19;True;5;5;0;0;0;0;0;0;0;1;2;1239
15;0;5;0;2;1;0;1;0;0;3;2;11;1;20;False;0;5;5;0;0;0;0;0;0;3;2;1126
15;8;1;0;2;0;0;0;0;0;3;2;-13;9;21;False;2;3;1;0;0;0;4;4;0;0;1;768
16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;False;0;0;0;0;0;0;0;0;0;0;0;3
16;0;0;0;0;0;0;0;0;0;0;0;0;0;11;False;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;15;False;0;0;0;0;0;0;0;0;0;0;0;0
